model,model_id,lane,usable_outputs,total_cases,coverage_pct,error_artifacts_without_output,auto_check_files,source_packet_files,notes,artifact_roots
Qwen qwen3.7-max,qwen-open-weight,open-weight reproducibility,60,60,100.0,0,60,0,57/60 main run plus 3 successful timeout reruns.,outputs/sounding-article-error-matrix-r3-full-qwen/20260630-001150/qwen-open-weight; outputs/sounding-article-error-matrix-r3-rerun-qwen/20260630-012513/qwen-open-weight
DeepSeek deepseek-v4-pro,deepseek-open-weight,open-weight reproducibility,60,60,100.0,0,60,0,60/60 main run.,outputs/sounding-article-error-matrix-r3-full-deepseek/20260630-001150/deepseek-open-weight
Kimi moonshot-v1-128k fallback,kimi-moonshot-stable-fallback,open-weight reproducibility,60,60,100.0,0,60,0,54/60 main run plus 6 successful connection-reset/timeout reruns.,outputs/sounding-article-error-matrix-r3-full-kimi/20260630-001150/kimi-moonshot-stable-fallback; outputs/sounding-article-error-matrix-r3-rerun-kimi/20260630-012513/kimi-moonshot-stable-fallback
MiniMax MiniMax-M1,minimax-open-weight,open-weight reproducibility,60,60,100.0,0,60,0,60/60 main run.,outputs/sounding-article-error-matrix-r3-full-minimax/20260630-001150/minimax-open-weight
Claude claude-opus-4-8,claude-frontier,frontier ceiling,60,60,100.0,0,60,0,60/60 main run.,outputs/sounding-article-error-matrix-r3-full-claude/20260630-001247/claude-frontier
Perplexity retrieval control sonar-pro,perplexity-retrieval-control,retrieval control,60,60,100.0,0,60,60,60/60 main run; source_packet.json saved for all cases.,outputs/sounding-article-error-matrix-r3-full-perplexity/20260630-001247/perplexity-retrieval-control
Gemini gemini-2.5-flash,gemini-frontier,frontier ceiling,60,60,100.0,0,60,0,60/60 for R3 after Gemini-only availability probe and full rerun; earlier Gemini-first attempt returned HTTP 429 RESOURCE_EXHAUSTED and was stopped.,outputs/sounding-article-error-matrix-r3-gemini-first/20260630-000618/gemini-frontier; outputs/sounding-article-error-matrix-r3-gemini-probe/20260630-020629/gemini-frontier; outputs/sounding-article-error-matrix-r3-rerun-gemini-full/20260630-020712/gemini-frontier
