slug,name,family,verdict,best_interface
skyline,Skyline,proteomics_metabolomics,not_available_current_environment,none_found
sleuth,sleuth,differential_expression,not_available_current_environment,r_package
snakemake,Snakemake,workflow_reproducibility,not_available_current_environment,none_found
space_ranger,Space Ranger,spatial_transcriptomics,not_available_current_environment,none_found
spades,SPAdes,genome_assembly_annotation,not_available_current_environment,none_found
squidpy,Squidpy,spatial_transcriptomics,not_available_current_environment,python_import
star,STAR,spliced_rna_alignment,not_available_current_environment,none_found
starsolo,STARsolo,single_cell_analysis,not_available_current_environment,none_found
stereoscope,Stereoscope,spatial_transcriptomics,not_available_current_environment,python_import
stlearn,stLearn,spatial_transcriptomics,not_available_current_environment,python_import
strelka2,Strelka2,variant_calling,not_available_current_environment,none_found
stringtie,StringTie,rna_seq_quantification,not_available_current_environment,none_found
tangram,Tangram,spatial_transcriptomics,not_available_current_environment,python_import
three_d_slicer,3D Slicer,imaging_signal_ml,not_available_current_environment,none_found
torchio,TorchIO,imaging_signal_ml,not_available_current_environment,python_import
trim_galore,Trim Galore,qc_preprocessing,not_available_current_environment,none_found
trimmomatic,Trimmomatic,qc_preprocessing,not_available_current_environment,none_found
wdl_cromwell,WDL-Cromwell,workflow_reproducibility,not_available_current_environment,none_found
wgcna,WGCNA,multi_omics_integration,not_available_current_environment,r_package
xcms,XCMS,proteomics_metabolomics,not_available_current_environment,r_package
