slug,tool_name,execution_layer,layer_runner,verdict,issues
singularity_apptainer,Singularity-Apptainer,workflow_runtime,scripts/run_launcher.py,pass,
skyline,Skyline,heavy_launcher_plan,scripts/run_launcher.py,pass,
sleuth,sleuth,r_bioconductor,scripts/run_package.py,pass,
snakemake,Snakemake,workflow_runtime,scripts/run_launcher.py,pass,
space_ranger,Space Ranger,heavy_launcher_plan,scripts/run_launcher.py,pass,
spades,SPAdes,lightweight_cli,scripts/run_cli.py,pass,
squidpy,Squidpy,python_package,scripts/run_package.py,pass,
star,STAR,lightweight_cli,scripts/run_cli.py,pass,
starsolo,STARsolo,lightweight_cli,scripts/run_cli.py,pass,
stereoscope,Stereoscope,python_package,scripts/run_package.py,pass,
stlearn,stLearn,python_package,scripts/run_package.py,pass,
strelka2,Strelka2,lightweight_cli,scripts/run_cli.py,pass,
stringtie,StringTie,lightweight_cli,scripts/run_cli.py,pass,
tangram,Tangram,python_package,scripts/run_package.py,pass,
three_d_slicer,3D Slicer,heavy_launcher_plan,scripts/run_launcher.py,pass,
torchio,TorchIO,python_package,scripts/run_package.py,pass,
trim_galore,Trim Galore,lightweight_cli,scripts/run_cli.py,pass,
trimmomatic,Trimmomatic,lightweight_cli,scripts/run_cli.py,pass,
wdl_cromwell,WDL-Cromwell,workflow_runtime,scripts/run_launcher.py,pass,
wgcna,WGCNA,r_bioconductor,scripts/run_package.py,pass,
xcms,XCMS,r_bioconductor,scripts/run_package.py,pass,
